Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Avg_Temperature,Max_Temperature,Min_Temperature
Arecanut,1997,Whole Year ,Assam,11.209317241968188,10.945688207278275,2051.4,15.764968602929914,10.038164413860812,0.796,23.692,33.435,14.779
Arhar/Tur,1997,Kharif     ,Assam,8.80056599227992,8.452334619067742,2051.4,13.356081682400971,7.629718267385035,0.71,23.692,33.435,14.779
Castor seed,1997,Kharif     ,Assam,6.680854678790215,3.1354942159291497,2051.4,11.235277152234566,5.512460535664947,0.238,23.692,33.435,14.779
Coconut ,1997,Whole Year ,Assam,9.8861887879578,18.43423228286143,2051.4,14.441803214855376,8.715119032300333,5.0725,23.692,33.435,14.779
Cotton(lint),1997,Kharif     ,Assam,7.461640392208575,6.678342114654332,2051.4,12.016736322693353,6.291735792337641,0.421,23.692,33.435,14.779
Dry chillies,1997,Whole Year ,Assam,9.516942329280475,9.113168460223909,2051.4,14.07253427165875,8.345923141137144,0.644,23.692,33.435,14.779
Gram,1997,Rabi       ,Assam,7.9996785794994505,7.318539548567902,2051.4,12.555011245985966,6.829242234111026,0.465,23.692,33.435,14.779
Jute,1997,Kharif     ,Assam,11.456577311016355,13.714690828426322,2051.4,16.012231608552174,10.285417877510628,5.0725,23.692,33.435,14.779
Linseed,1997,Rabi       ,Assam,9.220191688026556,8.54849804124465,2051.4,13.77575847005643,8.049229080937437,0.461,23.692,33.435,14.779
Maize,1997,Kharif     ,Assam,9.863550582932428,9.59709825261865,2051.4,14.419163857214487,8.692483419588388,0.616,23.692,33.435,14.779
Mesta,1997,Kharif     ,Assam,8.68541582383069,10.275189030491484,2051.4,13.240913318913229,7.514609006601482,4.569,23.692,33.435,14.779
Niger seed,1997,Whole Year ,Assam,9.201804040953895,8.532475814947395,2051.4,13.757369004530345,8.030845523057073,0.482,23.692,33.435,14.779
Onion,1997,Whole Year ,Assam,8.96610085736724,9.795011076200044,2051.4,13.52163929190668,7.795201993095444,2.343,23.692,33.435,14.779
Other  Rabi pulses,1997,Rabi       ,Assam,11.592641965597878,10.972894143280692,2051.4,16.148297594883598,10.42147953649275,0.521,23.692,33.435,14.779
Potato,1997,Whole Year ,Assam,11.228704064147427,13.417823125171918,2051.4,15.784355682490624,10.057550657100213,5.0725,23.692,33.435,14.779
Rapeseed &Mustard,1997,Rabi       ,Assam,12.540016688962552,11.949714806320419,2051.4,17.0956779121931,11.368841676859423,0.555,23.692,33.435,14.779
Rice,1997,Autumn     ,Assam,13.316875328492321,12.894990896760083,2051.4,17.8725384654029,12.145696011712174,0.781,23.692,33.435,14.779
Rice,1997,Summer     ,Assam,12.07239838555774,12.253070728690757,2051.4,16.628057496575355,10.901228124685142,1.06,23.692,33.435,14.779
Rice,1997,Winter     ,Assam,14.371303046395841,14.314646320771514,2051.4,18.92696724507055,13.200121341653604,0.941,23.692,33.435,14.779
Sesamum,1997,Whole Year ,Assam,9.665611001619853,9.018937706446035,2051.4,14.221213004572094,8.494569187778291,0.487,23.692,33.435,14.779
Small millets,1997,Kharif     ,Assam,9.258273025731485,8.592671652592143,2051.4,13.813843469143576,8.087302185146246,0.473,23.692,33.435,14.779
Sugarcane,1997,Kharif     ,Assam,10.351980221114811,14.068175629271655,2051.4,14.907613392699925,9.180868305972941,5.0725,23.692,33.435,14.779
Sweet potato,1997,Whole Year ,Assam,9.14644164612595,10.392650219665859,2051.4,13.702000928287825,7.97549590398316,3.44,23.692,33.435,14.779
Tapioca,1997,Whole Year ,Assam,7.81035268372429,9.369819686521504,2051.4,12.365616115234664,6.640071893037045,4.418,23.692,33.435,14.779
Tobacco,1997,Whole Year ,Assam,6.073044534100405,3.295836866004329,2051.4,10.626426760565684,4.906977032485268,0.38,23.692,33.435,14.779
Turmeric,1997,Whole Year ,Assam,9.217514575724183,8.850087606689566,2051.4,13.7730810950754,8.046552559327264,0.67,23.692,33.435,14.779
Wheat,1997,Rabi       ,Assam,11.346859074195008,11.608735519816204,2051.4,15.902512157753291,10.175702371363665,1.26,23.692,33.435,14.779
Arecanut,1997,Whole Year ,Karnataka,11.441440204346033,11.800680034794011,1266.7,15.997094342212057,10.270281129996023,1.294,25.766,35.922,16.838
Arhar/Tur,1997,Kharif     ,Karnataka,12.952312625397058,11.497547832925905,1266.7,17.507975045659016,11.78113492066636,0.268,25.766,35.922,16.838
Bajra,1997,Kharif     ,Karnataka,12.615363758471867,11.790988926543687,1266.7,17.171025238837665,11.444188167964194,0.405,25.766,35.922,16.838
Bajra,1997,Summer     ,Karnataka,6.710523109452428,6.4967749901858625,1266.7,11.264981920300539,5.542047551470635,0.81,25.766,35.922,16.838
Black pepper,1997,Kharif     ,Karnataka,8.249575150000199,6.829793737512425,1266.7,12.804981259403304,7.078973757431427,0.438,25.766,35.922,16.838
Cardamom,1997,Whole Year ,Karnataka,9.963217656743895,7.102499355774649,1266.7,14.518835815718449,8.792139507316014,0.059,25.766,35.922,16.838
Coriander,1997,Whole Year ,Karnataka,9.759501702007746,7.956476798036782,1266.7,14.315109329810653,8.588447237852492,0.121,25.766,35.922,16.838
Dry chillies,1997,Kharif     ,Karnataka,12.136615380514952,11.84371731297441,1266.7,16.69227484327028,10.965444328442683,1.078,25.766,35.922,16.838
Dry chillies,1997,Rabi       ,Karnataka,8.42639282708974,8.974111581113318,1266.7,12.981840860865956,7.255697200846635,1.869,25.766,35.922,16.838
Garlic,1997,Whole Year ,Karnataka,8.529516941105069,8.242756345714477,1266.7,13.084986213469435,7.358773571858458,1.585,25.766,35.922,16.838
Ginger,1997,Kharif     ,Karnataka,8.194229304819817,8.465057436995709,1266.7,12.749620693073696,7.023660998026327,1.262,25.766,35.922,16.838
Groundnut,1997,Kharif     ,Karnataka,13.650243148972404,13.172225347936438,1266.7,18.20590674774324,12.479062793268895,0.709,25.766,35.922,16.838
Groundnut,1997,Rabi       ,Karnataka,12.167420170898799,12.106650021205724,1266.7,16.723079794531856,10.996248756947464,1.133,25.766,35.922,16.838
Horse-gram,1997,Kharif     ,Karnataka,12.09443133580393,11.291343194222971,1266.7,16.650090570057085,10.92326079772511,0.45,25.766,35.922,16.838
Horse-gram,1997,Rabi       ,Karnataka,12.002572395094873,11.32143802955998,1266.7,16.558231097127944,10.83140305419197,0.515,25.766,35.922,16.838
Jowar,1997,Kharif     ,Karnataka,12.873109396371893,13.154044198415297,1266.7,17.42877162328089,11.701932126574107,1.228,25.766,35.922,16.838
Jowar,1997,Rabi       ,Karnataka,14.221757360469748,13.490851865830209,1266.7,18.777421467127596,13.050575861677192,0.511,25.766,35.922,16.838
Jowar,1997,Summer     ,Karnataka,8.722254235179681,9.62483129129166,1266.7,13.277757780629758,7.551433815257063,2.471,25.766,35.922,16.838
Maize,1997,Kharif     ,Karnataka,13.127943777965577,14.145629081000497,1266.7,17.68360657607569,11.956765223293138,2.688,25.766,35.922,16.838
Maize,1997,Rabi       ,Karnataka,10.796407298087043,11.50219813232934,1266.7,15.352051806161064,9.625269884313436,1.98,25.766,35.922,16.838
Maize,1997,Summer     ,Karnataka,9.18307194482199,9.947217315397454,1266.7,13.738635021172545,8.012117670741928,2.166,25.766,35.922,16.838
Ragi,1997,Kharif     ,Karnataka,13.70783848382362,14.009664337108616,1266.7,18.26350214792682,12.536657981159252,1.191,25.766,35.922,16.838
Ragi,1997,Rabi       ,Karnataka,10.207473491694438,10.425164091606355,1266.7,14.763101751209838,9.036372624748488,1.312,25.766,35.922,16.838
Ragi,1997,Summer     ,Karnataka,9.512073267650623,10.128070068044591,1266.7,14.067664854568132,8.341054878906206,1.848,25.766,35.922,16.838
Rice,1997,Kharif     ,Karnataka,13.846554664362259,14.66587257616418,1266.7,18.402218471199564,12.675373840626797,2.234,25.766,35.922,16.838
Rice,1997,Rabi       ,Karnataka,10.894700210927542,11.602318171010516,1266.7,15.450346615505552,9.723558531344933,2.074,25.766,35.922,16.838
Rice,1997,Summer     ,Karnataka,12.498910155845374,13.544698712948563,1266.7,17.05457123040651,11.327735478161602,2.829,25.766,35.922,16.838
